,kind,etag,id,snippet
0,youtube#searchResult,6I9u-sxfAKNJukLDRKSVbOpchIA,"{'kind': 'youtube#video', 'videoId': 'tbPGHAhUdIU'}","{'publishedAt': '2021-03-25T20:30:12Z', 'channelId': 'UCiWLfSweyRNmLpgEHekhoAg', 'title': 'The Rockets &#39;basically got nothing&#39; for Victor Oladipo - Bobby Marks | The Jump', 'description': 'Bobby Marks joins Rachel Nichols, Kendrick Perkins, Richard Jefferson and Robert Horry on The Jump to react to the news from Woj that the Miami Heat ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/tbPGHAhUdIU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tbPGHAhUdIU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tbPGHAhUdIU/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'ESPN', 'liveBroadcastContent': 'none', 'publishTime': '2021-03-25T20:30:12Z'}"
1,youtube#searchResult,LsWJ3TrMUxmNXTlZ68-ae5Zb23U,"{'kind': 'youtube#video', 'videoId': '1dboju97pnk'}","{'publishedAt': '2021-03-25T15:00:00Z', 'channelId': 'UCc1l5mTmAv2GC_PXrBpqyKQ', 'title': 'Whindersson tenta se aposentar em paródia de Resgate | Encomenda | Netflix Brasil', 'description': 'Whindersson só queria se aposentar e para isso precisaria fazer um último trabalho. Mas vai ser bem mais complicado do que ele imagina nesta paródia do ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/1dboju97pnk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/1dboju97pnk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/1dboju97pnk/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Netflix Brasil', 'liveBroadcastContent': 'none', 'publishTime': '2021-03-25T15:00:00Z'}"
2,youtube#searchResult,43TPuoPhsk8r3YWPWsyuiJzryho,"{'kind': 'youtube#video', 'videoId': '6rxyY2YalAM'}","{'publishedAt': '2021-03-25T01:00:00Z', 'channelId': 'UCVTyTA7-g9nopHeHbeuvpRA', 'title': 'GOP, Fox News Lie About Gun Control After Boulder, Atlanta Shootings: A Closer Look', 'description': 'Seth takes a closer look at Republicans, the gun lobby and Fox News once again lying and making ridiculous excuses for why they oppose wildly popular gun ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/6rxyY2YalAM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6rxyY2YalAM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6rxyY2YalAM/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Late Night with Seth Meyers', 'liveBroadcastContent': 'none', 'publishTime': '2021-03-25T01:00:00Z'}"
3,youtube#searchResult,d8j4t_KOcI7ttmAHnpCkEwW6hZ0,"{'kind': 'youtube#video', 'videoId': '3Lqkfo7IymU'}","{'publishedAt': '2021-03-25T16:00:00Z', 'channelId': 'UCpy5dRhZd-JbZP4NsrnLt1w', 'title': 'IN THE EARTH - Official Trailer', 'description': 'As the world searches for a cure to a disastrous virus, a scientist and park scout venture deep in the forest for a routine equipment run. Through the night, their ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/3Lqkfo7IymU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/3Lqkfo7IymU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/3Lqkfo7IymU/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'NEON', 'liveBroadcastContent': 'none', 'publishTime': '2021-03-25T16:00:00Z'}"
4,youtube#searchResult,LGuxHjRqHS-d1opjYd-JD5hi1zw,"{'kind': 'youtube#video', 'videoId': '_j-2a1nFZ_A'}","{'publishedAt': '2021-03-25T14:30:17Z', 'channelId': 'UCKHhA5hN2UohhFDfNXB_cvQ', 'title': 'AVIÃO de PASTA de escritório: VOA MUITO!', 'description': 'Manual do Mundo e aeromodelismo é uma combinação que costuma render bons frutos. Alguém duvida? Ainda bem que temos vídeos para comprovar!', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/_j-2a1nFZ_A/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_j-2a1nFZ_A/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_j-2a1nFZ_A/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Manual do Mundo', 'liveBroadcastContent': 'none', 'publishTime': '2021-03-25T14:30:17Z'}"
5,youtube#searchResult,qi4pcipbjdbJQUu_9X9xqU8FACg,"{'kind': 'youtube#video', 'videoId': 'ZOWjzaBjHnM'}","{'publishedAt': '2021-03-25T02:29:20Z', 'channelId': 'UC56gTxNs4f9xZ7Pa2i5xNzg', 'title': 'Hope You Don’t Mind | QARAN ft. The Rish | Nidhi Shah | Siddhant Kaushal | Hit Song 2021', 'description': ""An upbeat, flirty and tongue-in-cheek song about the ups and downs in a relationship, Hope You Don't Mind is an honest confession from an estranged lover to ..."", 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/ZOWjzaBjHnM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ZOWjzaBjHnM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ZOWjzaBjHnM/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Sony Music India', 'liveBroadcastContent': 'none', 'publishTime': '2021-03-25T02:29:20Z'}"
6,youtube#searchResult,jha3XzQL7BReClKlqjxxfELAgQI,"{'kind': 'youtube#video', 'videoId': '4eG7C2gRakY'}","{'publishedAt': '2021-03-25T19:43:01Z', 'channelId': 'UCdWD3k5SQUGXpHDkioiTFCw', 'title': 'Züleyha, Ramazan&#39;a haddini bildirdi! - Bir Zamanlar Çukurova 89. Bölüm', 'description': 'Bir Zamanlar Çukurova 89. Bölüm Özeti: ""Kader bize birbirimizin kalplerini gösterdi Demir..."" Ümit konusu vicdanını sızlatsa da, tüm yaşananların ardından ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/4eG7C2gRakY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4eG7C2gRakY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4eG7C2gRakY/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Bir Zamanlar Çukurova', 'liveBroadcastContent': 'none', 'publishTime': '2021-03-25T19:43:01Z'}"
7,youtube#searchResult,skB1PruTLhdXn78BySe_GIJ_PdI,"{'kind': 'youtube#video', 'videoId': 'fuwv860XyR4'}","{'publishedAt': '2021-03-25T04:39:53Z', 'channelId': 'UCNApqoVYJbYSrni4YsbXzyQ', 'title': 'Evo Evo Kalale Lyrical |  Lovestory Songs | Naga Chaitanya | Sai Pallavi | Sekhar Kammula | Pawan Ch', 'description': 'Presenting #EvoEvoKalale Lyrical Song From #Lovestory\u200b\u200b Telugu Movie. #NagaChaitanya #SaiPallavi #SekharKammula #PawanCh Song: Evo Evo Kalale ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/fuwv860XyR4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/fuwv860XyR4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/fuwv860XyR4/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Aditya Music', 'liveBroadcastContent': 'none', 'publishTime': '2021-03-25T04:39:53Z'}"
8,youtube#searchResult,NdFRRFd97aJsA238Rm0mNQ--q4M,"{'kind': 'youtube#video', 'videoId': 'VyvhvlYvRnc'}","{'publishedAt': '2021-03-25T11:00:18Z', 'channelId': 'UCvpredjG93ifbCP1Y77JyFA', 'title': 'YOASOBI「優しい彗星」Official Music Video\u3000(YOASOBI - Comet)', 'description': '-アシスタント 岡田直己 小野颯志 川村真優香 北村徳郎 木村かおる 立川憲一朗 まちだりな 渡辺真有 ☆インスト音源はこちら https://piapro.jp/t/Lm-C -- 今、静かな夜の中 ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/VyvhvlYvRnc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/VyvhvlYvRnc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/VyvhvlYvRnc/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Ayase / YOASOBI', 'liveBroadcastContent': 'none', 'publishTime': '2021-03-25T11:00:18Z'}"
9,youtube#searchResult,C0iiKH8lojdxDxKrsHCs0RsrNJo,"{'kind': 'youtube#video', 'videoId': 'N0RIoS1mbwU'}","{'publishedAt': '2021-03-25T14:59:46Z', 'channelId': 'UC8oimTPVHKiC7oL3QgdKbgg', 'title': 'Khloé Grills Kourtney on Her Love Life | KUWTK | E!', 'description': 'When the Kardashian sisters unite for a chill beachside dinner, Khloe puts Kourt on the spot about where she stands with the men in her life. Watch on ""KUWTK""!', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/N0RIoS1mbwU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/N0RIoS1mbwU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/N0RIoS1mbwU/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Keeping Up With The Kardashians', 'liveBroadcastContent': 'none', 'publishTime': '2021-03-25T14:59:46Z'}"
